Municipio;Población;Latitud (Y);Longitud (X);Restringe camion
SVQ1;0;37.27286595;-5.989369203;0
DQA4;0;37.34766449;-5.99895956;0
Aguadulce;2109;37.253;-4.993;0
Alanís;1638;38.098;-5.715;0
Albaida del Aljarafe;3220;37.385;-6.165;0
Alcalá de Guadaíra;77474;37.334;-5.85;0
Alcalá del Río;12335;37.518;-5.98;0
Alcolea del Río;3265;37.614;-5.666;0
Algaba, La;16803;37.461;-6.012;0
Algámitas;1258;37.016;-5.148;0
Almadén de la Plata;1328;37.873;-6.08;0
Almensilla;6646;37.306;-6.113;0
Arahal;19546;37.262;-5.546;0
Aznalcázar;4875;37.304;-6.248;0
Aznalcóllar;6096;37.521;-6.27;0
Badolatosa;3058;37.308;-4.673;0
Benacazón;7363;37.352;-6.196;0
Bollullos de la Mitación;11431;37.34;-6.136;0
Bormujos;23071;37.373;-6.072;0
Brenes;12975;37.549;-5.873;0
Burguillos;7448;37.585;-5.967;0
Cabezas de San Juan, Las;16388;36.983;-5.936;0
Camas;29089;37.402;-6.033;0
Campana, La;5122;37.568;-5.428;0
Cantillana;10780;37.608;-5.824;0
Cañada Rosal;3481;37.598;-5.211;0
Carmona;30240;37.471;-5.642;0
Carrión de los Céspedes;2647;37.368;-6.328;0
Casariche;5291;37.291;-4.759;0
Castilblanco de los Arroyos;5145;37.669;-5.988;0
Castilleja de Guzmán;2843;37.408;-6.057;0
Castilleja de la Cuesta;17074;37.388;-6.032;0
Castilleja del Campo;611;37.387;-6.335;0
Castillo de las Guardas, El;1501;37.808;-6.313;0
Cazalla de la Sierra;4626;37.93;-5.759;0
Constantina;5745;37.874;-5.62;0
Coria del Río;31278;37.287;-6.052;0
Coripe;1218;36.982;-5.441;0
Coronil, El;4659;37.081;-5.633;0
Corrales, Los;4021;37.143;-4.981;0
Cuervo de Sevilla, El;8783;36.851;-6.042;0
Dos Hermanas;142519;37.283;-5.924;0
Écija;39659;37.542;-5.079;0
Espartinas;16479;37.38;-6.126;0
Estepa;12430;37.289;-4.878;0
Fuentes de Andalucía;7247;37.463;-5.347;0
Garrobo, El;800;37.625;-6.173;0
Gelves;10548;37.34;-6.023;0
Gerena;7971;37.528;-6.155;0
Gilena;3647;37.238;-4.914;0
Gines;13634;37.387;-6.077;0
Guadalcanal;2544;38.091;-5.82;0
Guillena;14260;37.542;-6.055;0
Herrera;6575;37.363;-4.851;0
Huévar del Aljarafe;3388;37.357;-6.275;0
Isla Mayor;5748;37.135;-6.16;0
Lantejuela;3857;37.352;-5.221;0
Lebrija;27788;36.92;-6.075;0
Lora de Estepa;890;37.269;-4.828;0
Lora del Río;18122;37.658;-5.527;0
Luisiana, La;4618;37.527;-5.248;0
Madroño, El;286;37.645;-6.316;0
Mairena del Alcor;24339;37.373;-5.748;0
Mairena del Aljarafe;48017;37.346;-6.064;0
Marchena;19405;37.329;-5.416;0
Marinaleda;2562;37.371;-4.957;0
Martín de la Jara;2627;37.108;-4.962;0
Molares, Los;3659;37.155;-5.731;0
Montellano;7032;36.996;-5.57;0
Morón de la Frontera;27210;37.121;-5.454;0
Navas de la Concepción, Las;1501;37.931;-5.466;0
Olivares;9537;37.417;-6.156;0
Osuna;17396;37.237;-5.106;0
Palacios y Villafranca, Los;38761;37.162;-5.924;0
Palmar de Troya, El;2301;37.062;-5.811;0
Palomares del Río;9421;37.321;-6.057;0
Paradas;6762;37.289;-5.496;0
Pedrera;5057;37.223;-4.896;0
Pedroso, El;2062;37.842;-5.762;0
Peñaflor;3628;37.708;-5.345;0
Pilas;14222;37.3;-6.3;0
Pruna;2461;36.973;-5.223;0
Puebla de Cazalla, La;10830;37.221;-5.312;0
Puebla de los Infantes, La;2949;37.778;-5.388;0
Puebla del Río, La;11903;37.267;-6.063;0
Real de la Jara, El;1517;37.95;-6.155;0
Rinconada, La;40724;37.481;-5.975;0
Roda de Andalucía, La;4168;37.201;-4.777;0
Ronquillo, El;1453;37.726;-6.176;0
Rubio, El;3287;37.355;-4.988;0
Salteras;5604;37.418;-6.113;0
San Juan de Aznalfarache;23408;37.362;-6.027;0
San Nicolás del Puerto;604;37.993;-5.639;0
Sanlúcar la Mayor;14648;37.382;-6.202;0
Santiponce;8634;37.438;-6.039;0
Saucejo;4189;37.069;-5.097;0
Tocina;9431;37.608;-5.733;0
Tomares;25432;37.375;-6.045;0
Umbrete;9455;37.369;-6.158;0
Utrera;52403;37.182;-5.811;0
Valencina de la Concepción;8050;37.415;-6.074;0
Villamanrique de la Condesa;4694;37.246;-6.315;0
Villanueva de San Juan;986;37.061;-5.247;0
Villanueva del Ariscal;6965;37.395;-6.141;0
Villanueva del Río y Minas;5073;37.659;-5.714;0
Villaverde del Río;7885;37.588;-5.875;0
Viso del Alcor;19458;37.389;-5.719;0
Casco Antiguo;58423;37.3918;-5.9961;1
Macarena;72825;37.4092;-5.9835;1
Nervión;50158;37.3824;-5.9731;1
Cerro-Amate;87112;37.3753;-5.952;1
Sur;70184;37.3601;-5.9814;1
Triana;48420;37.3815;-6.0076;1
Este-Alcosa-Torreblanca;105412;37.4005;-5.9298;1
Norte;72030;37.4291;-5.9612;1
San Pablo-Santa Justa;57865;37.3967;-5.9654;1
Bellavista-La Palmera;40852;37.3229;-5.9851;1
